ID,city,postcode,state
1,DARWIN,800,NT
2,DARWIN,801,NT
3,PARAP,804,NT
4,ALAWA,810,NT
5,BRINKIN,810,NT
6,CASUARINA,810,NT
7,COCONUT GROVE,810,NT
8,JINGILI,810,NT
9,LEE POINT,810,NT
10,LYONS,810,NT
11,MILLNER,810,NT
12,MOIL,810,NT
13,MUIRHEAD,810,NT
14,NAKARA,810,NT
15,NIGHTCLIFF,810,NT
16,RAPID CREEK,810,NT
17,TIWI,810,NT
18,WAGAMAN,810,NT
19,WANGURI,810,NT
20,CASUARINA,811,NT
21,ANULA,812,NT
22,BUFFALO CREEK,812,NT
23,HOLMES,812,NT
24,KARAMA,812,NT
25,LEANYER,812,NT
26,MALAK,812,NT
27,MARRARA,812,NT
28,NORTHLAKES,812,NT
29,SANDERSON,812,NT
30,WOODLEIGH GARDENS,812,NT
31,WULAGI,812,NT
32,KARAMA,813,NT
33,NIGHTCLIFF,814,NT
34,CHARLES DARWIN UNIVERSITY,815,NT
35,BAGOT,820,NT
36,BAYVIEW,820,NT
37,CHARLES DARWIN,820,NT
38,COONAWARRA,820,NT
39,CULLEN BAY,820,NT
40,DARWIN DC,820,NT
41,DARWIN INTERNATIONAL AIRPORT,820,NT
42,DARWIN MC,820,NT
43,EAST POINT,820,NT
44,EATON,820,NT
45,FANNIE BAY,820,NT
46,LARRAKEYAH,820,NT
47,LUDMILLA,820,NT
48,PARAP,820,NT
49,RAAF BASE DARWIN,820,NT
50,STUART PARK,820,NT
51,THE GARDENS,820,NT
52,THE NARROWS,820,NT
53,WINNELLIE,820,NT
54,WOOLNER,820,NT
55,WINNELLIE,821,NT
56,ACACIA HILLS,822,NT
57,ANGURUGU,822,NT
58,ANINDILYAKWA,822,NT
59,ANNIE RIVER,822,NT
60,BATHURST ISLAND,822,NT
61,BEES CREEK,822,NT
62,BELYUEN,822,NT
63,BLACK JUNGLE,822,NT
64,BLACKMORE,822,NT
65,BORDER STORE,822,NT
66,BURRUNDIE,822,NT
67,BYNOE,822,NT
68,BYNOE HARBOUR,822,NT
69,CAMP CREEK,822,NT
70,CHANNEL ISLAND,822,NT
71,CHARLES DARWIN,822,NT
72,CHARLOTTE,822,NT
73,CLARAVALE,822,NT
74,COBOURG,822,NT
75,COLLETT CREEK,822,NT
76,COOMALIE CREEK,822,NT
77,COX PENINSULA,822,NT
78,CROKER ISLAND,822,NT
79,DALY,822,NT
80,DALY RIVER,822,NT
81,DARWIN MC,822,NT
82,DARWIN RIVER DAM,822,NT
83,DELISSAVILLE,822,NT
84,DOUGLAS-DALY,822,NT
85,EAST ARM,822,NT
86,EAST ARNHEM,822,NT
87,ELRUNDIE,822,NT
88,EVA VALLEY,822,NT
89,FINNISS VALLEY,822,NT
90,FLEMING,822,NT
91,FLY CREEK,822,NT
92,FREDS PASS,822,NT
93,GALIWINKU,822,NT
94,GLYDE POINT,822,NT
95,GOULBURN ISLAND,822,NT
96,GUNBALANYA,822,NT
97,GUNN POINT,822,NT
98,HAYES CREEK,822,NT
99,HIDDEN VALLEY,822,NT
100,HOTHAM,822,NT
101,HUGHES,822,NT
102,KAKADU,822,NT
103,KOOLPINYAH,822,NT
104,LAKE BENNETT,822,NT
105,LAMBELLS LAGOON,822,NT
106,LITCHFIELD PARK,822,NT
107,LIVINGSTONE,822,NT
108,LLOYD CREEK,822,NT
109,MANDORAH,822,NT
110,MANINGRIDA,822,NT
111,MARANUNGA,822,NT
112,MARGARET RIVER,822,NT
113,MARRAKAI,822,NT
114,MCMINNS LAGOON,822,NT
115,MICKETT CREEK,822,NT
116,MIDDLE POINT,822,NT
117,MILIKAPITI,822,NT
118,MILINGIMBI,822,NT
119,MILLWOOD,822,NT
120,MILYAKBURRA,822,NT
121,MINJILANG,822,NT
122,MOUNT BUNDEY,822,NT
123,MURRUMUJUK,822,NT
124,NAUIYU,822,NT
125,NEMARLUK,822,NT
126,NGANMARRIYANGA,822,NT
127,NGUIU,822,NT
128,NUMBULWAR,822,NT
129,NUMBURINDI,822,NT
130,OENPELLI,822,NT
131,PALUMPA,822,NT
132,PEPPIMENARTI,822,NT
133,PIRLANGIMPI,822,NT
134,POINT STEPHENS,822,NT
135,POINT STUART,822,NT
136,PULARUMPI,822,NT
137,RAKULA,822,NT
138,RAMINGINING,822,NT
139,ROBIN FALLS,822,NT
140,RUM JUNGLE,822,NT
141,SANDPALMS ROADHOUSE,822,NT
142,SOUTHPORT,822,NT
143,STAPLETON,822,NT
144,THAMARRURR,822,NT
145,TIPPERARY,822,NT
146,TIVENDALE,822,NT
147,TIWI ISLANDS,822,NT
148,TORTILLA FLATS,822,NT
149,TUMBLING WATERS,822,NT
150,UMBAKUMBA,822,NT
151,VERNON ISLANDS,822,NT
152,WADEYE,822,NT
153,WAGAIT BEACH,822,NT
154,WAK WAK,822,NT
155,WARRUWI,822,NT
156,WEDDELL,822,NT
157,WEST ARNHEM,822,NT
158,WICKHAM,822,NT
159,WINNELLIE,822,NT
160,WISHART,822,NT
161,WOOLANING,822,NT
162,BERRIMAH,828,NT
163,KNUCKEY LAGOON,828,NT
164,HOLTZE,829,NT
165,PINELANDS,829,NT
166,ARCHER,830,NT
167,DRIVER,830,NT
168,DURACK,830,NT
169,FARRAR,830,NT
170,GRAY,830,NT
171,MARLOW LAGOON,830,NT
172,MOULDEN,830,NT
173,PALMERSTON,830,NT
174,SHOAL BAY,830,NT
175,WOODROFFE,830,NT
176,YARRAWONGA,830,NT
177,PALMERSTON,831,NT
178,BAKEWELL,832,NT
179,BELLAMACK,832,NT
180,GUNN,832,NT
181,JOHNSTON,832,NT
182,MITCHELL,832,NT
183,ROSEBERY,832,NT
184,ROSEBERY HEIGHTS,832,NT
185,ZUCCOLI,832,NT
186,VIRGINIA,834,NT
187,HOWARD SPRINGS,835,NT
